,NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,PT08.S1(CO)
0,-200,2.1,593,146,1212,72,984,494,10.8,49.7,0.6429,797
1,-200,11,1013,354,545,141,1384,1287,17.4,50.6,0.9989,1282
2,-200,7.6,882,342,885,149,950,894,7.8,33.9,0.3594,891
3,-200,18.1,1243,481,599,173,1815,1582,26.4,41.9,1.4237,1285
4,-200,7.3,869,71,953,77,1363,632,37.4,14.7,0.9295,892
5,-200,14.1,1121,313,568,82,1569,1252,20,56.7,1.3078,1260
6,-200,3.1,657,-200,921,-200,1356,764,25.2,47.9,1.5129,868
7,-200,20.1,1299,602,518,132,1784,1560,20.1,62,1.4409,1350
8,-200,-200,-200,81,-200,71,-200,-200,-200,-200,-200,-200
9,-200,15.8,1174,513,521,127,1542,1494,10.4,82.5,1.0406,1543
10,-200,11.1,1017,-200,704,-200,1569,738,34.4,24,1.279,1011
11,-200,9.6,962,105,846,117,1527,680,34.2,19.6,1.0399,978
12,-200,9,941,342,837,114,1036,884,18.8,20,0.4278,941
13,-200,6.7,844,351,780,212,979,1117,8,33.3,0.3591,1065
14,-200,5.6,792,226,727,120,1170,1151,9.5,69.5,0.8261,1135
15,-200,8,900,79,864,83,1631,968,22.9,43.6,1.1974,965
16,-200,12.2,1058,273,634,91,1626,1237,27,47.6,1.67,1197
17,-200,14.1,1119,219,733,121,1831,1032,13.6,65.5,1.0184,1182
18,-200,-200,-200,653,-200,182,-200,-200,-200,-200,-200,-200
19,-200,11.9,1046,98,651,105,1754,1106,26.3,45.6,1.5349,1111
20,215,11,1016,98,798,95,1766,1194,24.3,41.8,1.2561,1338
21,72,3.6,691,91,1219,69,1321,836,7.4,68,0.7043,995
22,-200,35.5,1675,847,330,232,2143,2129,18.8,49.1,1.0538,1818
23,-200,16.5,1195,-200,680,-200,1976,1308,15.4,64.2,1.1123,1399
24,-200,13.4,1099,412,610,137,1451,1268,13.2,72.8,1.0984,1316
25,-200,21.4,1334,176,695,183,2066,1215,36.6,20.6,1.2445,1220
26,-200,8.4,917,135,882,64,1606,968,11.3,70.4,0.9443,1035
27,-200,3.7,696,48,1008,54,1548,801,22.1,56.2,1.48,893
28,-200,10,977,83,736,90,1733,1103,25.9,46.1,1.5174,1065
29,-200,1.4,540,-200,1296,-200,938,613,4.4,71.4,0.6024,720
30,-200,5.2,775,236,760,101,1205,1019,11.7,69.8,0.9612,1126
31,-200,7.5,880,89,964,72,1590,689,14.3,60.5,0.9847,972
32,-200,3.1,660,-200,938,-200,1342,728,23.7,49.2,1.4195,954
33,-200,7.6,884,63,764,57,1726,838,28.1,54.1,2.029,1074
34,-200,3.4,675,-200,1302,-200,1390,540,17.9,50.8,1.0355,838
35,-200,4.6,742,-200,905,-200,1386,720,19.9,68.4,1.5673,918
36,-200,15.4,1161,646,557,146,1407,1379,5.5,83.5,0.7619,1306
37,-200,12.1,1053,-200,708,-200,1480,958,16.5,56.2,1.0455,1037
38,-200,3.3,669,271,1069,119,981,779,10.1,44,0.5434,867
39,-200,5.1,770,191,900,74,1206,956,14,66.1,1.05,966
40,332,13.1,1088,151,764,129,1740,1339,19.8,46.8,1.0702,1267
41,343,11,1013,174,876,116,1632,982,10,74,0.9087,1207
42,-200,2.8,638,219,1022,143,860,583,4.3,49.4,0.4136,871
43,-200,-200,-200,88,-200,96,-200,-200,-200,-200,-200,-200
44,-200,17.9,1238,433,571,138,1613,1351,15.9,60.8,1.088,1253
45,40,4.1,718,82,1396,91,1304,692,7.1,61.8,0.6276,988
46,-200,6.7,845,239,979,81,1398,851,20.2,53.1,1.2442,926
47,-200,13.8,1111,521,630,151,1360,1198,5.8,84.5,0.7822,1254
48,-200,8.4,917,118,882,95,1617,905,17.2,52.3,1.0169,1033
49,-200,3,650,174,987,126,782,586,3.4,38.9,0.3076,891
50,-200,1.4,537,124,1158,96,722,768,-1.2,47.2,0.27,831
51,-200,15.7,1170,473,477,166,1566,1656,20.2,42.1,0.984,1380
52,-200,18.5,1254,670,524,167,1406,1950,8,55.9,0.6018,1419
53,-200,6.7,843,82,892,100,1438,729,26.1,28.3,0.9456,888
54,-200,6.4,831,74,956,79,1570,760,20.5,49.9,1.1903,889
55,-200,19.8,1291,541,444,107,1653,1609,13.4,55.1,0.8444,1499
56,-200,17.9,1237,264,645,136,1984,1328,16,59.3,1.0711,1347
57,-200,-200,-200,540,-200,289,-200,-200,-200,-200,-200,-200
58,-200,9.1,943,371,647,151,1307,1291,13.5,62.6,0.9644,1198
59,-200,23.1,1381,544,422,223,1677,1879,18.4,38.8,0.8152,1494
60,-200,5,763,163,840,97,1192,761,15,57.2,0.9698,1034
61,252,7,858,102,1013,79,1379,761,14.5,42,0.6896,978
62,-200,21.4,1336,221,739,159,1971,1157,26.9,32.2,1.1267,1196
63,-200,8.2,908,261,865,83,1321,931,14.6,56.4,0.9319,944
64,-200,5.3,778,46,896,56,1520,700,32.1,34,1.6039,938
65,-200,12.7,1075,-200,605,-200,1651,1103,27.2,40.7,1.4481,1282
66,-200,4.6,741,125,849,48,1392,843,19.6,71.3,1.612,930
67,181,9.2,945,161,969,118,1425,911,22.7,22.9,0.6224,1153
68,-200,17.2,1217,298,625,112,1945,1358,21.3,49.7,1.2452,1173
69,-200,15.8,1173,-200,720,-200,1870,1282,21.8,39.6,1.0209,1250
70,-200,22.1,1355,196,621,107,2095,1266,16.4,50.2,0.9286,1234
71,267,12.4,1063,120,876,98,1540,944,10.4,48,0.6046,1168
72,-200,5.5,790,74,960,70,1466,816,18.6,45.8,0.9723,891
73,-200,5.5,789,79,936,81,1620,929,18.4,65.8,1.3802,1065
74,-200,4.9,759,166,856,67,1162,940,8.8,83.7,0.9529,987
75,-200,4.3,729,-200,874,-200,1060,702,11.1,55.3,0.7325,938
76,-200,9.2,946,138,1009,119,1594,886,19.3,46.3,1.0279,1044
77,-200,13,1083,596,706,162,1114,1363,7.6,40.6,0.4273,1160
78,-200,8.7,927,90,707,78,1715,922,33.9,36,1.8692,1111
79,-200,24.8,1425,653,417,228,1690,1780,17.3,35.2,0.6907,1492
80,-200,10.5,996,115,649,84,1838,1113,25.4,56.2,1.7961,1075
